"search_index","sort","result_count","return_count","bias_dimension","bias_result_count"
"98211","date_desc","173","173","Women","11"
"98211","date_desc","173","173","Gender","7"
"1224787","relevance","117138","200","Racial","2"
"1224787","relevance","117138","200","Geographic","1"
"1224787","relevance","117138","200","Women","6"
"1224787","relevance","117138","200","Gender","10"
"1224787","date_desc","117138","200","Racial","6"
"1224787","date_desc","117138","200","Geographic","1"
"1224787","date_desc","117138","200","Women","5"
"1224787","date_desc","117138","200","Gender","17"
"352106","relevance","0","0","Racial","200"
"352106","relevance","0","0","Geographic","200"
"352106","relevance","0","0","Women","200"
"352106","relevance","0","0","Gender","200"
"352106","date_desc","0","0","Racial","200"
"352106","date_desc","0","0","Geographic","200"
"352106","date_desc","0","0","Women","200"
"352106","date_desc","0","0","Gender","200"
"749719","relevance","1711","200","Racial","3"
"749719","relevance","1711","200","Geographic","0"
"749719","relevance","1711","200","Women","19"
"749719","relevance","1711","200","Gender","3"
"749719","date_desc","1711","200","Racial","1"
"749719","date_desc","1711","200","Geographic","0"
"749719","date_desc","1711","200","Women","17"
"749719","date_desc","1711","200","Gender","6"
"966580","relevance","2","2","Racial","0"
"966580","relevance","2","2","Geographic","0"
"966580","relevance","2","2","Women","2"
"966580","relevance","2","2","Gender","0"
"966580","date_desc","2","2","Racial","0"
"966580","date_desc","2","2","Geographic","0"
"966580","date_desc","2","2","Women","2"
"966580","date_desc","2","2","Gender","0"
"1098806","relevance","24","24","Racial","1"
"1098806","relevance","24","24","Geographic","0"
"1098806","relevance","24","24","Women","0"
"1098806","relevance","24","24","Gender","2"
"1098806","date_desc","24","24","Racial","1"
"1098806","date_desc","24","24","Geographic","0"
"1098806","date_desc","24","24","Women","0"
"1098806","date_desc","24","24","Gender","2"
"490219","relevance","3","3","Racial","0"
"490219","relevance","3","3","Geographic","0"
"490219","relevance","3","3","Women","0"
"490219","relevance","3","3","Gender","0"
"490219","date_desc","3","3","Racial","0"
"490219","date_desc","3","3","Geographic","0"
"490219","date_desc","3","3","Women","0"
"490219","date_desc","3","3","Gender","0"
"406295","relevance","991","200","Racial","5"
"406295","relevance","991","200","Geographic","0"
"406295","relevance","991","200","Women","14"
"406295","relevance","991","200","Gender","3"
"406295","date_desc","991","200","Racial","4"
"406295","date_desc","991","200","Geographic","0"
"406295","date_desc","991","200","Women","12"
"406295","date_desc","991","200","Gender","10"
"801298","relevance","97","97","Racial","6"
"801298","relevance","97","97","Geographic","0"
"801298","relevance","97","97","Women","10"
"801298","relevance","97","97","Gender","8"
"801298","date_desc","97","97","Racial","6"
"801298","date_desc","97","97","Geographic","0"
"801298","date_desc","97","97","Women","10"
"801298","date_desc","97","97","Gender","8"
"309778","relevance","60","60","Racial","0"
"309778","relevance","60","60","Geographic","0"
"309778","relevance","60","60","Women","1"
"309778","relevance","60","60","Gender","1"
"309778","date_desc","60","60","Racial","0"
"309778","date_desc","60","60","Geographic","0"
"309778","date_desc","60","60","Women","1"
"309778","date_desc","60","60","Gender","1"
"170730","relevance","3","3","Racial","0"
"170730","relevance","3","3","Geographic","0"
"170730","relevance","3","3","Women","0"
"170730","relevance","3","3","Gender","0"
"170730","date_desc","3","3","Racial","0"
"170730","date_desc","3","3","Geographic","0"
"170730","date_desc","3","3","Women","0"
"170730","date_desc","3","3","Gender","0"
"1128252","relevance","87870","200","Racial","1"
"1128252","relevance","87870","200","Geographic","0"
"1128252","relevance","87870","200","Women","19"
"1128252","relevance","87870","200","Gender","1"
"1128252","date_desc","87870","200","Racial","3"
"1128252","date_desc","87870","200","Geographic","0"
"1128252","date_desc","87870","200","Women","60"
"1128252","date_desc","87870","200","Gender","11"
"307546","relevance","46968","200","Racial","5"
"307546","relevance","46968","200","Geographic","0"
"307546","relevance","46968","200","Women","2"
"307546","relevance","46968","200","Gender","7"
"307546","date_desc","46968","200","Racial","5"
"307546","date_desc","46968","200","Geographic","0"
"307546","date_desc","46968","200","Women","11"
"307546","date_desc","46968","200","Gender","8"
"889994","relevance","0","0","Racial","200"
"889994","relevance","0","0","Geographic","200"
"889994","relevance","0","0","Women","200"
"889994","relevance","0","0","Gender","200"
"889994","date_desc","0","0","Racial","200"
"889994","date_desc","0","0","Geographic","200"
"889994","date_desc","0","0","Women","200"
"889994","date_desc","0","0","Gender","200"
"1252572","relevance","4","4","Racial","0"
"1252572","relevance","4","4","Geographic","0"
"1252572","relevance","4","4","Women","0"
"1252572","relevance","4","4","Gender","0"
"1252572","date_desc","4","4","Racial","0"
"1252572","date_desc","4","4","Geographic","0"
"1252572","date_desc","4","4","Women","0"
"1252572","date_desc","4","4","Gender","0"
"261959","relevance","439","200","Racial","3"
"261959","relevance","439","200","Geographic","0"
"261959","relevance","439","200","Women","10"
"261959","relevance","439","200","Gender","13"
"261959","date_desc","439","200","Racial","2"
"261959","date_desc","439","200","Geographic","0"
"261959","date_desc","439","200","Women","8"
"261959","date_desc","439","200","Gender","21"
"580796","relevance","94","94","Racial","1"
"580796","relevance","94","94","Geographic","0"
"580796","relevance","94","94","Women","4"
"580796","relevance","94","94","Gender","0"
"580796","date_desc","94","94","Racial","1"
"580796","date_desc","94","94","Geographic","0"
"580796","date_desc","94","94","Women","4"
"580796","date_desc","94","94","Gender","0"
"581040","relevance","1746","200","Racial","17"
"581040","relevance","1746","200","Geographic","0"
"581040","relevance","1746","200","Women","58"
"581040","relevance","1746","200","Gender","16"
"581040","date_desc","1746","200","Racial","13"
"581040","date_desc","1746","200","Geographic","0"
"581040","date_desc","1746","200","Women","54"
"581040","date_desc","1746","200","Gender","13"
"608184","relevance","141","141","Racial","1"
"608184","relevance","141","141","Geographic","0"
"608184","relevance","141","141","Women","8"
"608184","relevance","141","141","Gender","3"
"608184","date_desc","141","141","Racial","1"
"608184","date_desc","141","141","Geographic","0"
"608184","date_desc","141","141","Women","8"
"608184","date_desc","141","141","Gender","3"
"818980","relevance","5","5","Racial","0"
"818980","relevance","5","5","Geographic","0"
"818980","relevance","5","5","Women","1"
"818980","relevance","5","5","Gender","0"
"818980","date_desc","5","5","Racial","0"
"818980","date_desc","5","5","Geographic","0"
"818980","date_desc","5","5","Women","1"
"818980","date_desc","5","5","Gender","0"
"246534","relevance","90208","200","Racial","9"
"246534","relevance","90208","200","Geographic","0"
"246534","relevance","90208","200","Women","9"
"246534","relevance","90208","200","Gender","4"
"246534","date_desc","90208","200","Racial","9"
"246534","date_desc","90208","200","Geographic","0"
"246534","date_desc","90208","200","Women","28"
"246534","date_desc","90208","200","Gender","28"
"161505","relevance","2","2","Racial","0"
"161505","relevance","2","2","Geographic","0"
"161505","relevance","2","2","Women","0"
"161505","relevance","2","2","Gender","0"
"161505","date_desc","2","2","Racial","0"
"161505","date_desc","2","2","Geographic","0"
"161505","date_desc","2","2","Women","0"
"161505","date_desc","2","2","Gender","0"
"789023","relevance","2","2","Racial","0"
"789023","relevance","2","2","Geographic","0"
"789023","relevance","2","2","Women","2"
"789023","relevance","2","2","Gender","1"
"789023","date_desc","2","2","Racial","0"
"789023","date_desc","2","2","Geographic","0"
"789023","date_desc","2","2","Women","2"
"789023","date_desc","2","2","Gender","1"
"672502","relevance","0","0","Racial","200"
"672502","relevance","0","0","Geographic","200"
"672502","relevance","0","0","Women","200"
"672502","relevance","0","0","Gender","200"
"672502","date_desc","0","0","Racial","200"
"672502","date_desc","0","0","Geographic","200"
"672502","date_desc","0","0","Women","200"
"672502","date_desc","0","0","Gender","200"
"589921","relevance","17","17","Racial","1"
"589921","relevance","17","17","Geographic","0"
"589921","relevance","17","17","Women","7"
"589921","relevance","17","17","Gender","0"
"589921","date_desc","17","17","Racial","1"
"589921","date_desc","17","17","Geographic","0"
"589921","date_desc","17","17","Women","7"
"589921","date_desc","17","17","Gender","0"
"807207","relevance","99","99","Racial","2"
"807207","relevance","99","99","Geographic","0"
"807207","relevance","99","99","Women","1"
"807207","relevance","99","99","Gender","1"
"807207","date_desc","99","99","Racial","2"
"807207","date_desc","99","99","Geographic","0"
"807207","date_desc","99","99","Women","1"
"807207","date_desc","99","99","Gender","1"
"697860","relevance","3740","200","Racial","2"
"697860","relevance","3740","200","Geographic","0"
"697860","relevance","3740","200","Women","19"
"697860","relevance","3740","200","Gender","10"
"697860","date_desc","3740","200","Racial","4"
"697860","date_desc","3740","200","Geographic","0"
"697860","date_desc","3740","200","Women","19"
"697860","date_desc","3740","200","Gender","14"
"736676","relevance","2","2","Racial","1"
"736676","relevance","2","2","Geographic","0"
"736676","relevance","2","2","Women","1"
"736676","relevance","2","2","Gender","2"
"736676","date_desc","2","2","Racial","1"
"736676","date_desc","2","2","Geographic","0"
"736676","date_desc","2","2","Women","1"
"736676","date_desc","2","2","Gender","2"
"16541","relevance","38","38","Racial","3"
"16541","relevance","38","38","Geographic","0"
"16541","relevance","38","38","Women","3"
"16541","relevance","38","38","Gender","0"
"16541","date_desc","38","38","Racial","3"
"16541","date_desc","38","38","Geographic","0"
"16541","date_desc","38","38","Women","3"
"16541","date_desc","38","38","Gender","0"
